;;;ML VELHA;;ML NOVA;;;;B2B - 1;B2B - 2;B2B - 3
;;100%;100%;95%;100%;95%;;B2C;15%;20%;30%
SKU;Descrição do Produto;Preço VTEX;Premium;Clássico;Premium;Clássico;Maior Preço;Menor Preço;Desconto;Desconto;Desconto
;"Coletor de escapamento 8x2 em aço inox polido para Ford Mustang V8 302"" (5.0L) 94-95"; R$ 176.605,00 ; R$ 68,90 ; R$ 65,46 ; R$ 183,79 ; R$ 174,50 ; R$ 176.605,00 ; R$ 65,46 ; R$ 55,64 ; R$ 52,37 ; R$ 45,82 
-;Alavanca de freio de mão hidráulico universal billet + Reservatório de fluído de freio em alumínio billet vermelho; R$ 611.705,00 ;  ;  ;  ;  ; R$ 611.705,00 ; R$ 611.705,00 ; R$ 519.949,25 ; R$ 489.364,00 ; R$ 428.193,50 
----;Interruptor tipo chave caça com led Copy; R$ 33.155,00 ;  ;  ;  ;  ; R$ 33.155,00 ; R$ 33.155,00 ; R$ 28.181,75 ; R$ 26.524,00 ; R$ 23.208,50 
--------;Interruptor tipo chave caça com led Copy; R$ 33.155,00 ;  ;  ;  ;  ; R$ 33.155,00 ; R$ 33.155,00 ; R$ 28.181,75 ; R$ 26.524,00 ; R$ 23.208,50 
---------;Turbina .50 Evolution SPA 509C / T3 - com refluxo eixo 9 PÁS 49,5mm rotor 46,75mm; R$ 1.793.505,00 ;  ;  ;  ;  ; R$ 1.793.505,00 ; R$ 1.793.505,00 ; R$ 1.524.479,25 ; R$ 1.434.804,00 ; R$ 1.255.453,50 
(AIPMSE04P);     Capa De Silicone Hoverboard Skate Elétrico 8 Polegadas;  ; R$ 1.000.000,00 ;  ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
(CMBFTIK001);Filtro de ar Scientific Air Flow Compacto + Mangueira flexível/ajustável para duto de ar; R$ 235.505,00 ;  ;  ;  ;  ; R$ 235.505,00 ; R$ 235.505,00 ; R$ 200.179,25 ; R$ 188.404,00 ; R$ 164.853,50 
(CMBKT30458D03);Kit Performance AP 8v Carburado - Kit turbo + Turbina .50 SPA509R + Kit intercooler + Kit alimentação + Kit forjado; R$ 6.811.405,00 ;  ;  ;  ;  ; R$ 6.811.405,00 ; R$ 6.811.405,00 ; R$ 5.789.694,25 ; R$ 5.449.124,00 ; R$ 4.767.983,50 
(CMBMV1871JG02);kit forjado AP 1.8 turbo: Pistão 83,75mm SPA Super A com pinos e travas + Aneis + Bielas Super A 144 Basic; R$ 2.329.305,00 ;  ;  ;  ;  ; R$ 2.329.305,00 ; R$ 2.329.305,00 ; R$ 1.979.909,25 ; R$ 1.863.444,00 ; R$ 1.630.513,50 
(CMBMVSSSU40V201)ERRO;GOLF WEEK - Kit forjado AP 2.0 turbo: PISTÃO CÔNCAVO FORJADO - SPA LINHA SUPER A COM PINOS 63,45X20MM E TRAVAS + Aneis; R$ 1.000.000,00 ;  ;  ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
(CMBMVW01L13010);Super kit forjado AP 2.0 8V turbo bloco alto: Pistões 83,5mm IASA/SPA + Bielas 154mm + Pinos + Junta 0,5mm; R$ 3.086.455,00 ;  ;  ;  ;  ; R$ 3.086.455,00 ; R$ 3.086.455,00 ; R$ 2.623.486,75 ; R$ 2.469.164,00 ; R$ 2.160.518,50 
(CMBPOIMP01A010);Polia do comando de válvulas regulável + Polia auxiliar (fixa) VW AP 8V modelo Magnum; R$ 777.955,00 ;  ;  ;  ;  ; R$ 777.955,00 ; R$ 777.955,00 ; R$ 661.261,75 ; R$ 622.364,00 ; R$ 544.568,50 
(CMBPOLV008);Polia de Virabrequim VW AP 8V graduada para Roda Fônica - Com suporte para sensor; R$ 169.005,00 ;  ;  ;  ;  ; R$ 169.005,00 ; R$ 169.005,00 ; R$ 143.654,25 ; R$ 135.204,00 ; R$ 118.303,50 
(CMBPOLV014);Polia de Virabrequim VW AP 8V graduada para Roda Fônica - Com suporte para sensor; R$ 232.655,00 ;  ;  ;  ;  ; R$ 232.655,00 ; R$ 232.655,00 ; R$ 197.756,75 ; R$ 186.124,00 ; R$ 162.858,50 
(CMBTM14I84D013);Coletor De Escape VW AP 8V Turbo Pulsativo + Turbina .70 SPA 700 / T3 - com refluxo eixo 64mm rotor 56mm; R$ 3.193.805,00 ;  ;  ;  ;  ; R$ 3.193.805,00 ; R$ 3.193.805,00 ; R$ 2.714.734,25 ; R$ 2.555.044,00 ; R$ 2.235.663,50 
(FTISCB06-ADNAN10R03PA);Filtro De Combustível Lavável Esportivo Para Mangueira 9mm ;  ; R$ 325,90 ;  ;  ;  ; R$ 325,90 ; R$ 325,90 ; R$ 277,02 ; R$ 260,72 ; R$ 228,13 
(MVLSIGM14);Pistão forjado para GM Família 2 (Astra / Vectra / Monza / Kadett) 2.0 8V / IASA / Côncavo (Unitário); R$ 971.755,00 ;  ;  ;  ;  ; R$ 971.755,00 ; R$ 971.755,00 ; R$ 825.991,75 ; R$ 777.404,00 ; R$ 680.228,50 
(SPAARR2867N);Jogo de Prisioneiros de Cabeçote forjados para Opala 4 e 6 cilindros 106mm (Incompleto) SOMENTE 13 unidades - OUTLET; R$ 336.205,00 ;  ;  ;  ;  ; R$ 336.205,00 ; R$ 336.205,00 ; R$ 285.774,25 ; R$ 268.964,00 ; R$ 235.343,50 
--------****;Turbina .50 Evolution SPA 509C / T3 - com refluxo eixo 9 PÁS 49,5mm rotor 46,75mm; R$ 1.793.505,00 ;  ;  ;  ;  ; R$ 1.793.505,00 ; R$ 1.793.505,00 ; R$ 1.524.479,25 ; R$ 1.434.804,00 ; R$ 1.255.453,50 
,,;4 Giclês principais (MEDIDA 100) para carburador Solex 2E/3E Brosol; R$ 33.155,00 ;  ;  ;  ;  ; R$ 33.155,00 ; R$ 33.155,00 ; R$ 28.181,75 ; R$ 26.524,00 ; R$ 23.208,50 
.;Coletor Escape Turbo Pulsativo Turbina P/ Cima Vw/Audi (1.8L/20V) - Transversais (AGU/AUM) + PRISIONEIROS CABEÇOTE FORJADOS 125MM - 10 UNIDADES; R$ 8.966.005,00 ;  ;  ;  ;  ; R$ 8.966.005,00 ; R$ 8.966.005,00 ; R$ 7.621.104,25 ; R$ 7.172.804,00 ; R$ 6.276.203,50 
